Designator,Mid X,Mid Y,Rotation,Layer
S74,230.8225,-126.815,0.0,top
S75,249.8725,-126.815,0.0,top
S76,285.59125,-129.7625,0.0,top
S77,345.1225,-126.815,0.0,top
S78,37.94125,-145.865,0.0,top
S79,61.75375,-145.865,0.0,top
S8,197.485,-41.09,0.0,top
S80,85.56625,-145.865,0.0,top
S81,157.00375,-148.8125,0.0,top
S82,228.44125,-145.865,0.0,top
S83,252.25375,-145.865,0.0,top
S84,276.06625,-145.865,0.0,top
S85,299.87875,-145.865,0.0,top
S86,326.0725,-145.865,0.0,top
S87,345.1225,-145.865,0.0,top
S88,364.1725,-145.865,0.0,top
S9,216.535,-41.09,0.0,top
U1,172.68,-18.36,0.0,top
U2,217.6,-17.82,180.0,top
